Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
4;TreapTree;AlmostOrdered;100;0.016;6;0.011;8;0.011;5;
4;AVLTree;AlmostOrdered;100;0.016;26;0.009;14;0.014;18;
4;RedBlackTree;AlmostOrdered;100;0.031;48;0.01;17;0.02;29;
4;BinarySearchTree;AlmostOrdered;100;0.016;53;0.025;102;0.026;103;
4;BinarySearch;AlmostOrdered;100;0.016;21;0.011;11;0.027;55;
4;LinearSearch;AlmostOrdered;100;0.055;120;0.049;121;0.007;9;
4;TreapTree;Random;100;0.02;6;0.01;7;0.015;6;
4;AVLTree;Random;100;0.018;23;0.011;15;0.016;21;
4;RedBlackTree;Random;100;0.028;30;0.01;15;0.023;28;
4;BinarySearchTree;Random;100;0.015;53;0.025;102;0.026;103;
4;BinarySearch;Random;100;0.027;41;0.012;11;0.021;34;
4;LinearSearch;Random;100;0.014;16;0.011;17;0.013;15;
4;TreapTree;Ordered;1000;0.142;6;0.108;12;0.074;6;
4;AVLTree;Ordered;1000;0.129;42;0.09;22;0.086;24;
4;RedBlackTree;Ordered;1000;0.376;92;0.094;24;0.16;43;
4;BinarySearchTree;Ordered;1000;1.104;503;2.162;1002;2.148;1003;
4;BinarySearch;Ordered;1000;0.129;20;0.118;19;1.608;522;
4;LinearSearch;Ordered;1000;5.413;1500;5.468;1501;0.047;5;
4;TreapTree;OrderedInverse;1000;0.172;6;0.112;11;0.092;6;
4;AVLTree;OrderedInverse;1000;0.124;33;0.086;23;0.089;31;
4;RedBlackTree;OrderedInverse;1000;0.407;77;0.097;23;0.139;53;
4;BinarySearchTree;OrderedInverse;1000;1.098;503;2.148;1002;2.152;1003;
4;BinarySearch;OrderedInverse;1000;1.612;526;0.107;19;0.084;17;
4;LinearSearch;OrderedInverse;1000;5.293;1001;5.772;1002;0.03;5;
4;TreapTree;AlmostOrdered;1000;0.171;8;0.131;11;0.114;8;
4;AVLTree;AlmostOrdered;1000;0.159;38;0.108;23;0.124;28;
4;RedBlackTree;AlmostOrdered;1000;0.378;81;0.116;29;0.169;40;
4;BinarySearchTree;AlmostOrdered;1000;1.094;503;2.148;1002;2.147;1003;
4;BinarySearch;AlmostOrdered;1000;0.307;85;0.114;19;1.2;457;
4;LinearSearch;AlmostOrdered;1000;4.778;1138;4.749;1139;0.078;13;
4;TreapTree;Random;1000;0.233;11;0.153;12;0.184;11;
4;AVLTree;Random;1000;0.212;36;0.134;23;0.173;32;
4;RedBlackTree;Random;1000;0.333;48;0.133;23;0.205;40;
4;BinarySearchTree;Random;1000;1.148;502;2.198;1001;2.219;1002;
4;BinarySearch;Random;1000;0.932;271;0.141;19;0.745;270;
4;LinearSearch;Random;1000;0.177;31;0.134;32;0.137;27;
5;TreapTree;Ordered;10;0.003;1;0.002;3;0.001;2;
5;AVLTree;Ordered;10;0.002;14;0.001;7;0.001;9;
5;RedBlackTree;Ordered;10;0.004;21;0.001;8;0.002;17;
5;BinarySearchTree;Ordered;10;0.002;8;0.001;12;0.001;13;
5;BinarySearch;Ordered;10;0.001;8;0.001;4;0.001;10;
5;LinearSearch;Ordered;10;0.002;15;0.002;16;0.001;5;
5;TreapTree;OrderedInverse;10;0.001;1;0.001;2;0.002;1;
5;AVLTree;OrderedInverse;10;0.002;12;0.001;7;0.002;11;
5;RedBlackTree;OrderedInverse;10;0.003;18;0.001;7;0.002;18;
5;BinarySearchTree;OrderedInverse;10;0.002;8;0.002;12;0.001;13;
5;BinarySearch;OrderedInverse;10;0.001;13;0.001;4;0.002;5;
5;LinearSearch;OrderedInverse;10;0.002;11;0.001;12;0.001;5;
5;TreapTree;AlmostOrdered;10;0.002;2;0.001;3;0.001;2;
5;AVLTree;AlmostOrdered;10;0.002;13;0.001;7;0.002;9;
5;RedBlackTree;AlmostOrdered;10;0.002;18;0.001;7;0.002;16;
5;BinarySearchTree;AlmostOrdered;10;0.001;8;0.001;12;0.001;13;
5;BinarySearch;AlmostOrdered;10;0.002;8;0.001;4;0.001;9;
5;LinearSearch;AlmostOrdered;10;0.001;14;0.001;15;0.001;5;
5;TreapTree;Random;10;0.002;2;0.001;3;0.002;2;
5;AVLTree;Random;10;0.002;10;0.001;7;0.002;10;
5;RedBlackTree;Random;10;0.002;13;0.001;7;0.002;17;
5;BinarySearchTree;Random;10;0.002;8;0.002;12;0.001;13;
5;BinarySearch;Random;10;0.002;11;0.001;4;0.001;6;
5;LinearSearch;Random;10;0.002;8;0.001;9;0.001;7;
5;TreapTree;Ordered;100;0.015;3;0.007;6;0.006;4;
5;AVLTree;Ordered;100;0.011;29;0.007;14;0.008;17;
5;RedBlackTree;Ordered;100;0.026;55;0.008;16;0.013;29;
5;BinarySearchTree;Ordered;100;0.016;53;0.024;102;0.024;103;
5;BinarySearch;Ordered;100;0.01;14;0.01;11;0.026;63;
5;LinearSearch;Ordered;100;0.065;150;0.055;151;0.004;5;
5;TreapTree;OrderedInverse;100;0.012;4;0.008;6;0.007;3;
5;AVLTree;OrderedInverse;100;0.012;23;0.007;15;0.01;21;
5;RedBlackTree;OrderedInverse;100;0.028;47;0.008;15;0.015;34;
5;BinarySearchTree;OrderedInverse;100;0.015;53;0.025;102;0.025;103;
5;BinarySearch;OrderedInverse;100;0.033;66;0.01;11;0.008;11;
5;LinearSearch;OrderedInverse;100;0.068;101;0.062;102;0.005;5;
5;TreapTree;AlmostOrdered;100;0.017;4;0.009;6;0.011;4;
5;AVLTree;AlmostOrdered;100;0.016;26;0.008;15;0.014;19;
5;RedBlackTree;AlmostOrdered;100;0.031;48;0.01;17;0.02;28;
5;BinarySearchTree;AlmostOrdered;100;0.017;53;0.025;102;0.026;103;
5;BinarySearch;AlmostOrdered;100;0.016;20;0.011;11;0.027;56;
5;LinearSearch;AlmostOrdered;100;0.052;121;0.048;122;0.008;10;
5;TreapTree;Random;100;0.019;6;0.01;6;0.013;5;
5;AVLTree;Random;100;0.016;23;0.009;15;0.014;20;
5;RedBlackTree;Random;100;0.026;30;0.009;15;0.021;28;
5;BinarySearchTree;Random;100;0.023;53;0.024;102;0.024;102;
5;BinarySearch;Random;100;0.024;40;0.011;11;0.022;35;
5;LinearSearch;Random;100;0.017;17;0.009;18;0.009;15;
5;TreapTree;Ordered;1000;0.161;5;0.109;11;0.073;6;
5;AVLTree;Ordered;1000;0.117;42;0.102;22;0.076;24;
